trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm
1,dwell,S2H_ABS,5,0,"(2,3)",2526.313890,262.103393,1,5,106.484028,156.282599
2,dwell,S2H_ABS,5,1,"(1,4)",2194.658624,332.134485,1,5,52.138445,209.445026
3,dwell,S2H_ABS,5,2,"(4,2)",2261.935739,140.060770,1,4,239.502384,80.047023
4,dwell,S2H_ABS,3,0,"(1,1)",1969.468268,336.004722,1,2,146.470872,198.313547
5,dwell,S2H_ABS,3,1,"(1,0)",2854.935740,459.981983,4,6,137.904586,276.855545
6,dwell,S2H_ABS,3,2,"(2,1)",1799.420471,202.793912,1,3,177.736025,120.614151
7,dwell,S2H_ABS,3,3,"(0,1)",3176.131047,592.289303,1,5,197.848638,352.607694
8,dwell,S2H_ABS,3,4,"(2,2)",1937.407458,249.364496,1,5,219.413962,122.854775
9,dwell,S2H_ABS,3,5,"(0,2)",2913.497559,544.194409,2,7,214.823523,318.117762
10,dwell,S2H_ABS,3,6,"(2,0)",2265.678519,262.463906,1,4,285.932264,182.527928
11,dwell,S2H_ABS,3,7,"(0,0)",2973.459866,414.178111,2,7,189.293713,296.205480
12,dwell,S2H_ABS,3,8,"(1,2)",1802.108446,277.010853,1,4,137.097748,191.533839
13,dwell,S2H_ABS,5,0,"(0,4)",3294.438534,576.052990,3,6,142.696256,329.972011
14,dwell,S2H_ABS,5,1,"(1,1)",1842.917142,367.280579,2,9,124.665138,242.885471
15,dwell,S2H_ABS,5,2,"(4,3)",5639.990904,747.275143,3,12,319.747482,489.460409
16,dwell,S2H_ABS,5,3,"(4,1)",1648.964557,191.981457,1,3,100.162750,127.150233
17,dwell,S2H_ABS,5,4,"(3,4)",6539.879280,1251.611937,1,12,303.415318,1390.307238
18,dwell,S2H_ABS,5,5,"(2,3)",2148.814016,314.925415,2,6,72.592675,179.950428
19,dwell,S2H_ABS,5,6,"(2,4)",1550.640802,318.582047,1,5,42.996749,169.718255
20,dwell,S2H_ABS,5,7,"(1,0)",2695.545184,399.177128,2,9,169.078321,309.273119
21,dwell,S2H_ABS,5,8,"(0,1)",13732.085729,1451.762188,4,35,488.904931,961.013552
22,dwell,S2H_ABS,5,9,"(3,1)",1998.071301,258.604709,1,8,147.037360,192.901574
23,dwell,S2H_ABS,5,10,"(0,3)",2644.071370,428.877066,1,8,163.869784,326.767024
24,dwell,S2H_ABS,5,11,"(2,1)",1700.612912,278.321339,3,9,60.866216,204.616172
25,dwell,S2H_ABS,5,12,"(1,3)",1647.048951,377.158889,2,6,52.373825,255.085108
26,dwell,S2H_ABS,5,13,"(4,2)",1598.375854,152.805979,2,3,195.722259,108.113618
27,dwell,S2H_ABS,5,14,"(3,0)",1842.670296,267.425036,2,4,96.004829,202.499259
28,dwell,S2H_ABS,5,15,"(0,2)",8833.894324,1140.915109,1,18,500.876953,677.345873
29,dwell,S2H_ABS,5,16,"(0,0)",8091.296762,899.176065,2,14,326.497550,767.185848
30,dwell,S2H_ABS,5,17,"(4,4)",5843.075803,489.565305,1,8,308.264452,272.431134
31,dwell,S2H_ABS,5,18,"(3,2)",2201.055153,276.215890,1,4,139.139462,173.446151
32,dwell,S2H_ABS,5,19,"(4,0)",2745.168950,229.977474,1,5,153.104174,140.253895
33,dwell,S2H_ABS,3,0,"(1,0)",96.064830,10.049876,0,3,0.000000,1.000000
34,dwell,S2H_ABS,3,1,"(0,2)",2044.065415,403.655070,1,2,55.664450,243.231477
35,dwell,S2H_ABS,3,2,"(2,0)",1847.268915,178.940935,2,5,212.674333,122.608583
36,dwell,S2H_ABS,3,3,"(0,0)",2195.451477,404.897648,1,7,167.717454,282.968365
37,dwell,S2H_ABS,3,4,"(2,2)",2645.824554,307.136204,1,6,235.186771,204.572830
38,dwell,S2H_ABS,3,5,"(2,1)",1248.320085,153.479864,2,3,31.128990,86.421599
39,dwell,S2H_ABS,3,6,"(1,2)",1550.656581,279.709802,1,4,73.992950,153.890261
40,dwell,S2H_ABS,3,7,"(1,1)",1748.690379,233.236490,2,4,48.769977,134.222402
41,dwell,S2H_ABS,3,8,"(0,1)",2994.239577,393.061836,3,4,118.959784,255.042834
42,dwell,S2H_ABS,3,0,"(2,1)",2247.272648,192.104098,2,7,184.968410,121.167408
43,dwell,S2H_ABS,3,1,"(1,1)",1495.789221,202.259905,1,3,66.925556,136.812871
44,dwell,S2H_ABS,3,2,"(2,0)",1668.982756,197.798566,1,3,111.991553,138.914965
45,dwell,S2H_ABS,3,3,"(0,1)",2331.628432,370.214658,2,5,179.325637,288.662510
46,dwell,S2H_ABS,3,4,"(0,0)",2202.964423,404.393857,1,5,93.584232,311.631129
47,dwell,S2H_ABS,3,5,"(0,2)",1999.205367,378.115275,1,9,82.907632,286.412123
48,dwell,S2H_ABS,3,6,"(1,0)",1872.086462,313.705792,2,4,152.658434,246.196489
49,dwell,S2H_ABS,3,7,"(1,2)",1628.951133,317.787983,1,4,95.128320,204.348875
50,dwell,S2H_ABS,3,8,"(2,2)",1541.360718,190.606025,1,3,165.611122,118.863394
51,dwell,S2H_ABS,3,9,"(2,1)",83.703637,8.246211,1,2,1.000000,1.414214
52,dwell,S2H_ABS,3,0,"(0,2)",3696.789434,403.038067,1,4,92.212664,255.136325
53,dwell,S2H_ABS,3,1,"(0,0)",3378.753146,297.083899,1,11,1200.226574,454.789167
54,dwell,S2H_ABS,3,2,"(0,0)",4596.359032,495.825732,1,11,179.929187,487.781387
55,dwell,S2H_ABS,3,3,"(0,0)",1748.891305,403.099719,2,5,53.617154,333.548805
56,dwell,S2H_ABS,3,4,"(0,0)",1698.939189,399.883022,1,6,32.727922,317.679941
57,dwell,S2H_ABS,3,5,"(0,0)",1820.601417,449.491543,1,6,34.656854,351.744568
58,dwell,S2H_ABS,3,6,"(0,0)",1624.613741,372.574013,1,7,56.226933,309.608127
59,dwell,S2H_ABS,3,7,"(0,0)",9910147.567328,0.000000,1,1,0.000000,0.000000
60,dwell,S2H_ABS,3,8,"(0,0)",1632.438943,375.337789,1,5,23.656854,311.255431
61,dwell,S2H_ABS,3,9,"(0,0)",1459.796775,379.433572,1,6,26.313708,303.107943
62,dwell,S2H_ABS,3,10,"(0,0)",5900.977232,74.037846,2,8,77.277699,414.372802
63,dwell,S2H_ABS,3,11,"(0,0)",9923763.982810,0.000000,1,1,0.000000,0.000000
64,dwell,S2H_ABS,3,12,"(0,0)",1900.845188,379.235972,1,5,31.485281,304.613963
65,dwell,S2H_ABS,3,13,"(0,0)",1954.320044,421.096154,1,9,32.485281,313.856058
66,dwell,S2H_ABS,3,14,"(0,0)",1811.847858,337.915187,2,6,37.843767,266.499249
67,dwell,S2H_ABS,3,15,"(0,0)",9934483.327994,0.000000,1,1,0.000000,0.000000
68,dwell,S2H_ABS,3,16,"(0,0)",3215.864414,79.323168,2,7,51.620844,941.163637
69,dwell,S2H_ABS,3,17,"(0,0)",9939619.361664,0.000000,1,1,0.000000,0.000000
70,dwell,S2H_ABS,3,18,"(0,0)",13817.259049,782.156753,4,7,494.216759,554.064106
71,dwell,S2H_ABS,3,19,"(0,0)",9955219.844011,0.000000,1,2,0.000000,0.000000
72,dwell,S2H_ABS,3,0,"(1,1)",1413.800965,282.633100,1,7,93.921556,177.420513
73,dwell,S2H_ABS,3,1,"(0,0)",1752.051487,390.616235,1,5,106.456800,295.682238
74,dwell,S2H_ABS,3,2,"(0,0)",10124842.524994,0.000000,1,1,0.000000,0.000000
75,dwell,S2H_ABS,3,3,"(0,0)",1661.733811,394.537709,1,6,44.754109,291.862920
76,dwell,S2H_ABS,3,4,"(0,0)",3041.851559,561.232952,4,10,53.035058,360.311654
77,dwell,S2H_ABS,3,5,"(0,0)",10133008.014192,0.000000,1,1,0.000000,0.000000
78,dwell,S2H_ABS,3,6,"(0,0)",2148.949300,374.862332,1,7,33.892922,257.637785
79,dwell,S2H_ABS,3,0,"(1,2)",1456.166070,287.213835,1,4,110.422334,144.314077
80,dwell,S2H_ABS,3,1,"(0,0)",1982.951321,414.379793,2,3,105.708976,271.547632
81,dwell,S2H_ABS,3,2,"(0,0)",10227916.603527,0.000000,1,2,0.000000,0.000000
82,dwell,S2H_ABS,3,3,"(0,0)",1720.323804,335.323483,1,6,30.485281,238.798941
83,dwell,S2H_ABS,3,4,"(0,0)",1600.977257,342.321265,2,8,24.656854,240.185070
84,dwell,S2H_ABS,3,5,"(0,0)",10234327.364494,0.000000,1,2,0.000000,0.000000
85,dwell,S2H_ABS,3,6,"(0,0)",1489.561331,371.106520,1,5,31.436126,285.298153
86,dwell,S2H_ABS,3,7,"(0,0)",10237390.988429,0.000000,1,1,0.000000,0.000000
87,dwell,S2H_ABS,3,0,"(1,1)",1586.958426,287.878639,1,2,57.088781,185.152830
88,dwell,S2H_ABS,3,1,"(0,0)",2543.932771,459.322156,3,5,87.531009,307.856936
89,dwell,S2H_ABS,3,2,"(0,0)",2053.249822,409.413902,1,7,55.322476,265.985489
90,dwell,S2H_ABS,3,0,"(1,0)",1548.644424,268.389525,1,3,92.955454,201.901710
91,dwell,S2H_ABS,3,1,"(2,0)",1600.088617,194.911026,1,2,186.016594,113.440304
92,dwell,S2H_ABS,3,2,"(0,2)",1747.553942,412.963527,2,6,129.605426,272.158483
93,dwell,S2H_ABS,3,3,"(1,1)",1402.906977,247.539081,1,4,90.197841,165.378753
94,dwell,S2H_ABS,3,4,"(1,2)",1548.679699,298.263413,1,3,77.042413,190.711490
95,dwell,S2H_ABS,3,5,"(0,0)",2250.248154,438.052453,3,4,118.915436,310.845309
96,dwell,S2H_ABS,3,6,"(2,2)",2744.961533,333.085342,2,6,277.961686,168.917148
97,dwell,S2H_ABS,3,7,"(2,1)",1349.704528,162.652890,1,2,61.414891,97.487612
98,dwell,S2H_ABS,3,8,"(0,1)",1947.126390,396.996105,1,4,201.738960,286.844782
99,dwell,S2H_ABS,3,9,"(1,0)",1745.826178,342.942945,2,5,111.480209,219.982073
100,dwell,S2H_ABS,3,10,"(2,0)",1799.735154,182.198948,1,5,173.265977,119.949825
101,dwell,S2H_ABS,3,11,"(0,2)",2895.276497,586.366941,2,10,222.777247,344.392164
102,dwell,S2H_ABS,3,12,"(1,1)",1550.209205,231.031839,1,5,75.612460,151.088686
103,dwell,S2H_ABS,3,13,"(1,2)",1599.543167,325.889048,1,4,22.064495,172.178315
104,dwell,S2H_ABS,3,14,"(0,0)",2248.790741,395.638080,3,6,109.995226,273.552842
105,dwell,S2H_ABS,3,15,"(2,2)",1948.204917,282.181176,1,4,272.867430,202.319117
106,dwell,S2H_ABS,3,16,"(2,1)",1297.245772,186.893298,1,2,66.405679,109.208982
107,dwell,S2H_ABS,3,17,"(0,1)",2249.476494,410.069712,3,5,199.276539,313.726666
108,dwell,S2H_ABS,3,18,"(1,0)",2098.492473,364.967179,1,7,138.835249,262.822910
109,dwell,S2H_ABS,3,19,"(2,0)",1947.268003,239.129124,2,5,209.647692,161.913048
110,dwell,S2H_ABS,3,0,"(2,0)",1549.233844,148.486809,1,5,194.083312,87.110331
111,dwell,S2H_ABS,3,1,"(0,2)",2044.245683,368.178592,1,7,120.695570,246.992119
112,dwell,S2H_ABS,3,2,"(1,1)",1548.397451,261.711540,2,5,47.832158,177.776046
113,dwell,S2H_ABS,3,3,"(0,1)",2255.314228,345.305979,2,4,56.362336,261.980118
114,dwell,S2H_ABS,3,4,"(1,0)",2053.115607,278.288839,1,7,110.809871,234.161801
115,dwell,S2H_ABS,3,5,"(2,1)",1894.124511,213.915672,2,5,185.889696,131.137214
116,dwell,S2H_ABS,3,6,"(0,0)",1949.250688,381.509591,2,5,196.775894,287.970987
117,dwell,S2H_ABS,3,7,"(2,2)",1795.152327,222.408553,1,3,210.079247,162.054427
118,dwell,S2H_ABS,3,8,"(1,2)",3245.347396,84.399440,1,3,180.997861,299.336156
119,dwell,S2H_ABS,3,9,"(2,0)",1750.599924,177.678020,3,4,165.711742,116.799577
120,dwell,S2H_ABS,3,10,"(0,2)",2149.695716,418.847080,2,7,119.936051,247.506453
121,dwell,S2H_ABS,3,11,"(1,1)",2446.337293,394.205336,1,3,62.370129,218.362307
122,dwell,S2H_ABS,3,12,"(0,1)",2250.942241,338.852631,3,4,56.104515,242.995109
123,dwell,S2H_ABS,3,13,"(1,0)",1848.490661,322.047483,2,5,84.349496,238.185380
124,dwell,S2H_ABS,3,14,"(2,1)",1800.009493,153.399483,2,5,167.362247,106.260020
125,dwell,S2H_ABS,3,15,"(0,0)",2296.321645,377.757396,1,5,178.306242,264.923179
126,dwell,S2H_ABS,3,16,"(2,2)",1794.217333,198.855100,2,7,197.267620,141.307901
127,dwell,S2H_ABS,3,17,"(1,2)",1699.935439,234.780503,3,2,61.757675,137.944807
128,dwell,S2H_ABS,3,18,"(2,0)",1996.031800,195.759468,1,4,182.240192,129.274387
129,dwell,S2H_ABS,3,19,"(0,2)",2092.112184,422.096306,1,6,180.683245,258.659116
130,dwell,S2H_ABS,3,0,"(0,2)",2400.200852,43.126152,1,4,81.753883,285.487598
131,dwell,S2H_ABS,3,1,"(0,0)",4044.926835,769.968106,4,13,134.529476,448.979621
132,dwell,S2H_ABS,3,2,"(0,1)",2601.078826,497.225594,3,7,79.606840,338.664321
133,dwell,S2H_ABS,3,3,"(1,0)",1447.183520,292.975788,2,5,139.836936,231.947797
134,dwell,S2H_ABS,3,4,"(1,1)",1652.855777,320.442958,1,4,92.545711,232.554920
135,dwell,S2H_ABS,3,5,"(2,2)",1649.048561,238.734761,1,3,183.461324,128.276495
136,dwell,S2H_ABS,3,6,"(2,0)",1349.459045,215.506140,1,3,114.622991,159.978070
137,dwell,S2H_ABS,3,7,"(1,2)",1652.634318,346.640526,2,4,113.954178,186.240786
138,dwell,S2H_ABS,3,8,"(2,1)",98.488842,11.401754,0,2,0.000000,2.000000
139,dwell,S2H_ABS,5,0,"(0,3)",1898.438738,471.368771,1,7,88.804594,304.365376
140,dwell,S2H_ABS,3,0,"(1,1)",1574.695122,252.730232,1,3,114.601051,120.338351
141,dwell,S2H_ABS,3,1,"(0,0)",1850.413483,404.967865,2,4,84.139865,244.335468
142,dwell,S2H_ABS,3,2,"(0,1)",2320.062076,32.650441,2,5,64.960460,210.236506
143,dwell,S2H_ABS,3,3,"(1,0)",1546.121979,380.598755,2,5,77.215759,206.598283
